#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
1.0,61,1213.647048
3.0,136,1216.385156
1.0,72,1217.013498
4.0,153,1219.127929
3.0,157,1221.969847
6.0,207,1224.537021
1.0,57,1225.773765
2.0,106,1226.730755
1.0,51,1227.912992
2.0,122,1229.7318
5.0,205,1232.263756
3.0,156,1235.171319
1.0,75,1235.842659
2.0,83,1237.33048
3.0,154,1239.471071
3.0,141,1241.475115
4.0,175,1244.513323
4.0,161,1246.756677
0.0,23,1246.995357
3.0,153,1249.146893
1.0,57,1250.388148
4.0,142,1252.476943
1.0,58,1252.986953
1.0,53,1254.201916
3.0,150,1256.349927
1.0,74,1257.017183
1.0,80,1258.459883
1.0,76,1259.849378
3.0,149,1261.967557
1.0,53,1262.443383
0.0,25,1262.67039
2.0,85,1264.232539
5.0,166,1266.523187
4.0,173,1269.562902
5.0,201,1272.106976
3.0,133,1274.000917
1.0,84,1275.485451
3.0,148,1277.546496
2.0,98,1279.191624
1.0,51,1279.652124
1.0,75,1281.082247
0.0,23,1281.285162
0.0,25,1281.533064
1.0,51,1282.757094
4.0,180,1285.126497
1.0,59,1285.652557
1.0,52,1286.86531
3.0,153,1289.009168
5.0,190,1292.254196
1.0,81,1292.985412
1.0,86,1294.489989
1.0,82,1295.22133
1.0,78,1296.652663
0.0,23,1296.867476
2.0,109,1298.595649
3.0,121,1300.436644
2.0,111,1302.174865
6.0,214,1305.566659
3.0,130,1307.490767
1.0,73,1308.133986
7.0,227,1311.623115
1.0,147,1313.700909
1.0,86,1315.207182
0.0,23,1315.42311
1.0,69,1316.052892
3.0,162,1318.974054
3.0,151,1321.078765
1.0,56,1321.57512
5.0,192,1324.778875
2.0,104,1326.466414
4.0,184,1328.834023
3.0,160,1330.967465
4.0,158,1333.860068
3.0,132,1335.773093
4.0,177,1338.097226
4.0,161,1340.272706
4.0,165,1343.190714
1.0,77,1343.874924
0.0,23,1344.087245
0.0,23,1345.036947
2.0,101,1345.946673
0.0,28,1346.936786
2.0,120,1348.008173
4.0,188,1351.16701
4.0,197,1353.736757
1.0,65,1355.06304
1.0,70,1356.401403
0.0,23,1356.60113
3.0,134,1358.525094
3.0,153,1360.619354
1.0,77,1362.021575
1.0,55,1362.505128
5.0,170,1364.751721
4.0,167,1367.741827
5.0,196,1370.229977
2.0,123,1372.064714
2.0,104,1373.758201
2.0,162,1375.963761
5.0,191,1379.16768
3.0,156,1381.356771
1.0,54,1381.852674
1.0,76,1383.274178
1.0,57,1383.818954
1.0,69,1385.209094
1.0,54,1385.698026
4.0,178,1388.76117
1.0,52,1389.219485
4.0,156,1391.389796
2.0,102,1393.069856
3.0,116,1394.873116
3.0,124,1396.723066
1.0,60,1397.263756
2.0,60,1398.561211
3.0,147,1400.628611
2.0,119,1402.485648
2.0,88,1404.059776
